Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A01482581	2014-08-12	SD	H1N2	A/swine/South_Dakota/A01482581/2014	delta1a	NA	NA	2002B	----P-	FALSE
A00857135	2011-10-07	IL	H1N1	A/swine/Illinois/A00857135/2011	gamma	NA	Classical	NA	PTPTPT	TRUE
A01270490	2012-09-27	IL	H1N2	A/swine/Illinois/A01270490/2012	delta1b	NA	NA	2002A	PPPPPT	TRUE
A01475803	2014-06-17	IL	H3N2	A/swine/Illinois/A01475803/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01502036	2014-06-18	IL	H3N2	A/swine/Illinois/A01502036/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502312	2014-05-29	IL	H1N2	A/swine/Illinois/A01502312/2014	delta1b	NA	NA	2002A	----T-	FALSE
A01502448	2014-07-14	IL	H3N2	A/swine/Illinois/A01502448/2014	NA	IV-E	NA	2002A	----P-	FALSE
A00968366	2012-07-12	IN	H1N2	A/swine/Indiana/A00968366/2012	delta1b	NA	NA	2002A	TTTPPT	TRUE
A01260523	2014-04-03	IN	H3N2	A/swine/Indiana/A01260523/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01260536	2014-04-22	IN	H1N1	A/swine/Indiana/A01260536/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260544	2014-05-06	IN	H1N2	A/swine/Indiana/A01260544/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01260551	2014-05-15	IN	H1N1	A/swine/Indiana/A01260551/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260554	2014-05-15	IN	H1N1	A/swine/Indiana/A01260554/2014	gamma	NA	Classical	NA	----P-	FALSE
A01203117	2012-01-05	IA	H1N1	A/swine/Iowa/A01203117/2012	gamma	NA	Classical	NA	TTTTPT	TRUE
A01410969	2014-06-16	IA	H1N1	A/swine/Iowa/A01410969/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410971	2014-06-16	IA	H3N2	A/swine/Iowa/A01410971/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410990	2014-06-19	IA	H1N1	A/swine/Iowa/A01410990/2014	pandemic	NA	Pandemic	NA	----P-	FALSE
A01410995	2014-06-19	IA	H3N2	A/swine/Iowa/A01410995/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01476008	2014-06-24	IA	H3N2	A/swine/Iowa/A01476008/2014	NA	IV	NA	2002	----T-	FALSE
A01476009	2014-06-24	IA	H1N1	A/swine/Iowa/A01476009/2014	gamma	NA	Classical	NA	----P-	FALSE
A01476012	2014-06-24	IA	H1N1	A/swine/Iowa/A01476012/2014	gamma	NA	Classical	NA	----P-	FALSE
A01476019	2014-06-25	IA	H1N1	A/swine/Iowa/A01476019/2014	gamma	NA	Classical	NA	----P-	FALSE
A01476084	2014-07-08	IA	H1N2	A/swine/Iowa/A01476084/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01476085	2014-07-08	IA	H1N2	A/swine/Iowa/A01476085/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01116365	2011-10-03	MN	H1N1	A/swine/Minnesota/A01116365/2011	delta1b	NA	Pandemic	NA	PPPPPP	TRUE
A01482140	2014-07-09	MN	H1N1	A/swine/Minnesota/A01482140/2014	pandemic	NA	Pandemic	NA	----P-	FALSE
A01502081	2014-06-12	MN	H1N1	A/swine/Minnesota/A01502081/2014	gamma	NA	Classical	NA	----P-	FALSE
A01240348	2011-11-16	NE	H1N1	A/swine/Nebraska/A01240348/2011	beta	NA	Classical	NA	TTTTTT	TRUE
A01240847	2012-01-03	NE	H1N1	A/swine/Nebraska/A01240847/2012	beta	NA	Classical	NA	TTTTTT	TRUE
A01364596	2013-09-03	NC	H1N1	A/swine/North_Carolina/A01364596/2013	gamma	NA	Classical	NA	TTTPPT	TRUE
A01475825	2014-06-17	NC	H3N2	A/swine/North_Carolina/A01475825/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01481942	2014-06-27	SD	H1N1	A/swine/South_Dakota/A01481942/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410780	2014-05-01	IL	H1N1	A/swine/Illinois/A01410780/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475495	2014-05-01	IL	H1N2	A/swine/Illinois/A01475495/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01501987	2014-06-18	IL	H3N2	A/swine/Illinois/A01501987/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502005	2014-06-18	IL	H3N2	A/swine/Illinois/A01502005/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502049	2014-06-18	IL	H3N2	A/swine/Illinois/A01502049/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502053	2014-06-18	IL	H3N2	A/swine/Illinois/A01502053/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502060	2014-06-18	IL	H3N2	A/swine/Illinois/A01502060/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01502079	2014-06-18	IL	H3N2	A/swine/Illinois/A01502079/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01536664	2014-05-14	IL	H1N1	A/swine/Illinois/A01536664/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410924	2014-05-01	IN	H1N1	A/swine/Indiana/A01410924/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410926	2014-06-01	IN	H1N2	A/swine/Indiana/A01410926/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410752	2014-04-01	IA	H3N2	A/swine/Iowa/A01410752/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410806	2014-05-01	IA	H1N1	A/swine/Iowa/A01410806/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410847	2014-05-01	IA	H3N2	A/swine/Iowa/A01410847/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410925	2014-06-01	IA	H1N1	A/swine/Iowa/A01410925/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475456	2014-05-01	IA	H3N2	A/swine/Iowa/A01475456/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475544	2014-05-01	IA	H3N2	A/swine/Iowa/A01475544/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475548	2014-05-01	IA	H3N2	A/swine/Iowa/A01475548/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01501048	2014-05-13	IA	H3N2	A/swine/Iowa/A01501048/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01501240	2014-05-19	IA	H3N2	A/swine/Iowa/A01501240/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01501525	2014-05-29	IA	H3N2	A/swine/Iowa/A01501525/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01501685	2014-06-05	IA	H3N2	A/swine/Iowa/A01501685/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410817	2014-05-01	MN	H1N1	A/swine/Minnesota/A01410817/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410855	2014-05-01	MN	H1N2	A/swine/Minnesota/A01410855/2014	delta1a	NA	NA	2002B	----P-	FALSE
A01410867	2014-05-01	MN	H1N2	A/swine/Minnesota/A01410867/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01475770	2014-06-09	MN	H1N1	A/swine/Minnesota/A01475770/2014	beta	NA	Classical	NA	----P-	FALSE
A01501488	2014-05-27	MN	H1N2	A/swine/Minnesota/A01501488/2014	delta1a	NA	NA	2002B	----P-	FALSE
A01501491	2014-05-27	MN	H1N2	A/swine/Minnesota/A01501491/2014	delta1a	NA	NA	2002B	----P-	FALSE
A01501538	2014-06-03	MN	H1N2	A/swine/Minnesota/A01501538/2014	delta1a	NA	NA	2002B	----P-	FALSE
A01501639	2014-06-04	MN	H1N2	A/swine/Minnesota/A01501639/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01501642	2014-06-04	MN	H1N2	A/swine/Minnesota/A01501642/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01501690	2014-06-05	MN	H1N2	A/swine/Minnesota/A01501690/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01501738	2014-06-10	MN	H3N2	A/swine/Minnesota/A01501738/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01104081	2014-05-12	NE	H1N2	A/swine/Nebraska/A01104081/2014	delta1b	NA	NA	2002A	TTPPPT	TRUE
A01501767	2014-06-12	NE	H3N2	A/swine/Nebraska/A01501767/2014	NA	IV-A	NA	2002A	----P-	FALSE
A01509963	2014-05-07	NE	H3N2	A/swine/Nebraska/A01509963/2014	NA	IV-A	NA	2002A	----P-	FALSE
A01410825	2014-05-01	NC	H1N1	A/swine/North_Carolina/A01410825/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410877	2014-05-01	NC	H3N2	A/swine/North_Carolina/A01410877/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475478	2014-05-01	NC	H1N1	A/swine/North_Carolina/A01475478/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475600	2014-05-01	NC	H3N2	A/swine/North_Carolina/A01475600/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475606	2014-05-01	NC	H1N2	A/swine/North_Carolina/A01475606/2014	delta2	NA	NA	1998B	----P-	FALSE
A01475609	2014-05-01	NC	H1N1	A/swine/North_Carolina/A01475609/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481498	2014-05-22	SD	H1N1	A/swine/South_Dakota/A01481498/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481811	2014-06-17	SD	H3N2	A/swine/South_Dakota/A01481811/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01481928	2014-06-25	SD	H3N2	A/swine/South_Dakota/A01481928/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410730	2014-04-01	IL	H1N1	A/swine/Illinois/A01410730/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410786	2014-05-01	IL	H3N2	A/swine/Illinois/A01410786/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01411750	2014-04-01	IL	H1N1	A/swine/Illinois/A01411750/2014	gamma	NA	Classical	NA	----P-	FALSE
A01411761	2014-04-01	IL	H3N2	A/swine/Illinois/A01411761/2014	NA	IV-A	NA	2002A	----P-	FALSE
A01411783	2014-04-01	IL	H1N2	A/swine/Illinois/A01411783/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01475330	2014-04-01	IL	H3N2	A/swine/Illinois/A01475330/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475376	2014-05-01	IL	H1N1	A/swine/Illinois/A01475376/2014	gamma	NA	Classical	NA	----P-	FALSE
A01509186	2014-04-15	IL	H3N2	A/swine/Illinois/A01509186/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01509203	2014-04-15	IL	H3N2	A/swine/Illinois/A01509203/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01509209	2014-04-15	IL	H3N2	A/swine/Illinois/A01509209/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01536079	2014-02-24	IL	H3N2	A/swine/Illinois/A01536079/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01536186	2014-03-14	IL	H3N2	A/swine/Illinois/A01536186/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01536474	2014-04-07	IL	H3N2	A/swine/Illinois/A01536474/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01260496	2014-02-19	IN	H1N1	A/swine/Indiana/A01260496/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260513	2014-03-11	IN	H1N1	A/swine/Indiana/A01260513/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260516	2014-03-11	IN	H1N1	A/swine/Indiana/A01260516/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260521	2014-03-19	IN	H3N2	A/swine/Indiana/A01260521/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410773	2014-05-01	IN	H3N2	A/swine/Indiana/A01410773/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410633	2014-04-01	IA	H3N2	A/swine/Iowa/A01410633/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410680	2014-04-01	IA	H1N1	A/swine/Iowa/A01410680/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410694	2014-04-01	IA	H1N2	A/swine/Iowa/A01410694/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410714	2014-04-01	IA	H1N2	A/swine/Iowa/A01410714/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01410748	2014-05-01	IA	H3N2	A/swine/Iowa/A01410748/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410751	2014-05-01	IA	H1N2	A/swine/Iowa/A01410751/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410753	2014-05-01	IA	H1N1	A/swine/Iowa/A01410753/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410774	2014-05-01	IA	H1N2	A/swine/Iowa/A01410774/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410783	2014-05-01	IA	H1N1	A/swine/Iowa/A01410783/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410793	2014-05-01	IA	H1N1	A/swine/Iowa/A01410793/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475300	2014-04-01	IA	H1N1	A/swine/Iowa/A01475300/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481125	2014-04-21	IA	H1N1	A/swine/Iowa/A01481125/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481221	2014-05-02	IA	H3N2	A/swine/Iowa/A01481221/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01481390	2014-05-13	IA	H3N2	A/swine/Iowa/A01481390/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01501046	2014-05-13	IA	H3N2	A/swine/Iowa/A01501046/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01509846	2014-04-23	IA	H3N2	A/swine/Iowa/A01509846/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01410771	2014-05-01	MN	H3N2	A/swine/Minnesota/A01410771/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01481244	2014-05-05	MN	H1N1	A/swine/Minnesota/A01481244/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481424	2014-05-16	MN	H1N1	A/swine/Minnesota/A01481424/2014	gamma	NA	Classical	NA	----P-	FALSE
A01493899	2014-04-07	MN	H1N1	A/swine/Minnesota/A01493899/2014	gamma	NA	Classical	NA	----P-	FALSE
A01509676	2014-04-28	MN	H3N2	A/swine/Minnesota/A01509676/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01493964	2014-04-03	MO	H3N2	A/swine/Missouri/A01493964/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01509439	2014-04-21	NE	H1N2	A/swine/Nebraska/A01509439/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01509523	2014-04-24	NE	H1N1	A/swine/Nebraska/A01509523/2014	pandemic	NA	Pandemic	NA	----P-	FALSE
A01509623	2014-04-29	NE	H1N2	A/swine/Nebraska/A01509623/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01410625	2014-04-01	NC	H1N2	A/swine/North_Carolina/A01410625/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410640	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01410640/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410672	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410672/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410681	2014-04-01	NC	H1N2	A/swine/North_Carolina/A01410681/2014	delta2	NA	NA	1998B	----P-	FALSE
A01410687	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410687/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410688	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410688/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410691	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410691/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410709	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410709/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410732	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410732/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410777	2014-05-01	NC	H3N2	A/swine/North_Carolina/A01410777/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410779	2014-05-01	NC	H3N2	A/swine/North_Carolina/A01410779/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410790	2014-05-01	NC	H1N2	A/swine/North_Carolina/A01410790/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410800	2014-05-01	NC	H3N2	A/swine/North_Carolina/A01410800/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475276	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01475276/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481204	2014-04-30	SD	H1N1	A/swine/South_Dakota/A01481204/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481392	2014-05-13	SD	H3N2	A/swine/South_Dakota/A01481392/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410373	2014-03-01	IL	H3N2	A/swine/Illinois/A01410373/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01410453	2014-03-01	IL	H3N2	A/swine/Illinois/A01410453/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410538	2014-03-01	IL	H1N1	A/swine/Illinois/A01410538/2014	gamma	NA	Classical	NA	----P-	FALSE
A01411693	2014-03-01	IL	H1N1	A/swine/Illinois/A01411693/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475118	2014-03-01	IL	H1N1	A/swine/Illinois/A01475118/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475166	2014-03-01	IL	H1N2	A/swine/Illinois/A01475166/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01475190	2014-03-01	IL	H3N2	A/swine/Illinois/A01475190/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475266	2014-03-01	IL	H3N2	A/swine/Illinois/A01475266/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475273	2014-04-01	IL	H3N2	A/swine/Illinois/A01475273/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475279	2014-04-01	IL	H3N2	A/swine/Illinois/A01475279/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01493218	2014-03-19	IL	H3N2	A/swine/Illinois/A01493218/2014	NA	IV-E	NA	2002A	----P-	FALSE
A01493469	2014-03-26	IL	H3N2	A/swine/Illinois/A01493469/2014	NA	IV-E	NA	2002A	----P-	FALSE
A00968344	2011-09-08	IN	H3N2	A/swine/Indiana/A00968344/2011	NA	IV-D	NA	2002	TTTTPT	TRUE
A00968364	2012-07-03	IN	H3N2	A/swine/Indiana/A00968364/2012	NA	IV-A	NA	2002B	TTTTPT	TRUE
A01410481	2014-03-01	IN	H1N1	A/swine/Indiana/A01410481/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410456	2014-03-01	IA	H1N2	A/swine/Iowa/A01410456/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410497	2014-03-01	IA	H1N2	A/swine/Iowa/A01410497/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410509	2014-03-01	IA	H1N2	A/swine/Iowa/A01410509/2014	delta1b	NA	NA	2002B	----P-	FALSE
A01410515	2014-03-01	IA	H1N2	A/swine/Iowa/A01410515/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410600	2014-04-01	IA	H3N2	A/swine/Iowa/A01410600/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410614	2014-04-01	IA	H1N2	A/swine/Iowa/A01410614/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01480817	2014-04-02	IA	H3N2	A/swine/Iowa/A01480817/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01480935	2014-04-08	IA	H1N2	A/swine/Iowa/A01480935/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01377222	2014-02-10	KS	H1N1	A/swine/Kansas/A01377222/2014	gamma	NA	Classical	NA	----P-	FALSE
A01377256	2014-03-19	KS	H1N2	A/swine/Kansas/A01377256/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01049346	2010-12-29	MN	H3N2	A/swine/Minnesota/A01049346/2010	NA	NA	NA	NA	TTTTTT	TRUE
A01480795	2014-03-31	MN	H1N1	A/swine/Minnesota/A01480795/2014	gamma	NA	Classical	NA	----P-	FALSE
A01481073	2014-04-16	MN	H3N2	A/swine/Minnesota/A01481073/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01493481	2014-03-26	MN	H3N2	A/swine/Minnesota/A01493481/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01493671	2014-04-01	MN	H1N1	A/swine/Minnesota/A01493671/2014	gamma	NA	Classical	NA	----P-	FALSE
A01493740	2014-04-02	MN	H1N2	A/swine/Minnesota/A01493740/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01493895	2014-04-01	MN	H1N1	A/swine/Minnesota/A01493895/2014	gamma	NA	Classical	NA	----P-	FALSE
A01202593	2011-09-13	MS	H1N1	A/swine/Mississippi/A01202593/2011	beta	NA	Classical	NA	TTTTPT	TRUE
A01202501	2011-08-10	NE	H1N2	A/swine/Nebraska/A01202501/2011	delta1b	NA	NA	2002	TTTPPT	TRUE
A01493501	2014-03-27	NE	H3N2	A/swine/Nebraska/A01493501/2014	NA	IV-A	NA	2002A	----P-	FALSE
A01493576	2014-03-31	NE	H1N1	A/swine/Nebraska/A01493576/2014	gamma	NA	Classical	NA	----P-	FALSE
A01493629	2014-03-31	NE	H1N2	A/swine/Nebraska/A01493629/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01410321	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410321/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410329	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410329/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410422	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410422/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410471	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410471/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410485	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410485/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410500	2014-03-01	NC	H1N2	A/swine/North_Carolina/A01410500/2014	delta2	NA	NA	2002B	----P-	FALSE
A01410501	2014-03-01	NC	H1N2	A/swine/North_Carolina/A01410501/2014	delta2	NA	NA	2002B	----P-	FALSE
A01410511	2014-03-01	NC	H3N2	A/swine/North_Carolina/A01410511/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410520	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410520/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410522	2014-03-01	NC	H1N2	A/swine/North_Carolina/A01410522/2014	delta2	NA	NA	1998B	----P-	FALSE
A01410523	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01410523/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410525	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01410525/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410527	2014-03-01	NC	H3N2	A/swine/North_Carolina/A01410527/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410529	2014-03-01	NC	H3N2	A/swine/North_Carolina/A01410529/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01410533	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410533/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410535	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01410535/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410554	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01410554/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410555	2014-04-01	NC	H1N1	A/swine/North_Carolina/A01410555/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410562	2014-04-01	NC	H1N2	A/swine/North_Carolina/A01410562/2014	delta2	NA	NA	1998B	----P-	FALSE
A01410563	2014-04-01	NC	H1N2	A/swine/North_Carolina/A01410563/2014	delta2	NA	NA	2002B	----P-	FALSE
A01410593	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01410593/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01475217	2014-03-01	NC	H3N2	A/swine/North_Carolina/A01475217/2014	NA	IV-A	NA	2002A	----P-	FALSE
A01475223	2014-03-01	NC	H1N2	A/swine/North_Carolina/A01475223/2014	delta2	NA	NA	1998B	----P-	FALSE
A01475255	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01475255/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475256	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01475256/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475257	2014-03-01	NC	H1N1	A/swine/North_Carolina/A01475257/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475277	2014-04-01	NC	H3N2	A/swine/North_Carolina/A01475277/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01202498	2011-08-08	OK	H1N2	A/swine/Oklahoma/A01202498/2011	delta1b	NA	NA	2002A	TTPTTT	TRUE
A01480750	2014-03-27	SD	H1N1	A/swine/South_Dakota/A01480750/2014	gamma	NA	Classical	NA	----T-	FALSE
A01480796	2014-04-01	SD	H1N2	A/swine/South_Dakota/A01480796/2014	delta1b	NA	NA	1998A	----P-	FALSE
A01202625	2011-09-29	VA	H1N1	A/swine/Virginia/A01202625/2011	gamma	NA	Classical	NA	TTTTTT	TRUE
A01410345	2014-02-01	IL	H1N1	A/swine/Illinois/A01410345/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410360	2014-03-01	IL	H1N1	A/swine/Illinois/A01410360/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410361	2014-03-01	IL	H1N1	A/swine/Illinois/A01410361/2014	gamma	NA	Classical	NA	----P-	FALSE
A01410380	2014-03-01	IL	H3N2	A/swine/Illinois/A01410380/2014	NA	IV-B	NA	2002B	----P-	FALSE
A01410405	2014-03-01	IL	H1N2	A/swine/Illinois/A01410405/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01410409	2014-03-01	IL	H3N2	A/swine/Illinois/A01410409/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01411405	2014-02-01	IL	H1N2	A/swine/Illinois/A01411405/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01411493	2014-03-01	IL	H3N2	A/swine/Illinois/A01411493/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01411517	2014-03-01	IL	H1N1	A/swine/Illinois/A01411517/2014	gamma	NA	Classical	NA	----P-	FALSE
A01411540	2014-02-01	IL	H1N1	A/swine/Illinois/A01411540/2014	gamma	NA	Classical	NA	----P-	FALSE
A01411590	2014-03-01	IL	H1N2	A/swine/Illinois/A01411590/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01475088	2014-02-01	IL	H1N2	A/swine/Illinois/A01475088/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01475091	2014-02-01	IL	H1N2	A/swine/Illinois/A01475091/2014	delta1b	NA	NA	2002A	----P-	FALSE
A01475094	2014-02-01	IL	H1N1	A/swine/Illinois/A01475094/2014	gamma	NA	Classical	NA	----P-	FALSE
A01475151	2014-02-01	IL	H1N1	A/swine/Illinois/A01475151/2014	gamma	NA	Classical	NA	----P-	FALSE
A01493027	2014-03-12	IL	H3N2	A/swine/Illinois/A01493027/2014	NA	IV-E	NA	2002A	----P-	FALSE
A01260453	2013-12-20	IN	H1N1	A/swine/Indiana/A01260453/2013	gamma	NA	Classical	NA	----P-	FALSE
A01260456	2014-01-03	IN	H1N1	A/swine/Indiana/A01260456/2014	gamma	NA	Classical	NA	----P-	FALSE
A01260458	2014-01-03	IN	H1N1	A/swine/Indiana/A01260458/2014	gamma	NA	Classical	NA	----P-	FALSE
